modelo,kilometraje,year,precio,color
Model 3,33.900 km,03/2023,"€ 35.990,-",Blanco
Model 3,124.839 km,09/2019,"€ 25.940,-",Azul
Model 3,26.000 km,09/2020,"€ 29.850,-",Blanco
Model 3,160.000 km,10/2020,"€ 26.900,-",Otros
Model x,114.999 km,03/2017,"€ 54.999,-",Rojo
Model 3,39.000 km,04/2019,"€ 27.500,-",Azul
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model s,38.000 km,01/2019,"€ 38.900,-",Rojo
Model x,130.000 km,06/2017,"€ 37.500,-",Gris
Model 3,47.479 km,06/2020,"€ 25.640,-",Azul
Model 3,49.990 km,01/2022,"€ 31.500,-",Gris
Model 3,104.900 km,09/2019,"€ 24.900,-",Negro
Model 3,128.000 km,09/2019,"€ 24.900,-",Azul
Model s,114.000 km,05/2016,"€ 26.995,-",Gris
Model 3,44.983 km,03/2021,"€ 28.990,-",Granate
Model 3,127.156 km,02/2019,"€ 27.000,-",Rojo
Model 3,55.000 km,09/2021,"€ 34.900,-",Blanco
Model 3,77.000 km,05/2020,"€ 26.850,-",Blanco
Model s,115.551 km,06/2018,"€ 31.200,-",Negro
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model 3,77.000 km,05/2020,"€ 26.850,-",Blanco
Model x,91.000 km,06/2016,"€ 43.900,-",Blanco
Model s,233.000 km,09/2014,"€ 21.990,-",Rojo
Model x,54.500 km,09/2019,"€ 57.900,-",Negro
Model s,85.000 km,01/2018,"€ 34.500,-",Azul
Model x,64.000 km,04/2018,"€ 42.000,-",Blanco
Model 3,128.500 km,01/2020,"€ 21.400,-",Otros
Model y,96.000 km,09/2021,"€ 29.950,-",Rojo
Model y,16.000 km,07/2023,"€ 37.900,-",Negro
Model 3,64.000 km,03/2020,"€ 32.900,-",Rojo
Model s,162.000 km,01/2019,"€ 32.990,-",Negro
Model 3,100.000 km,03/2022,"€ 30.000,-",Blanco
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model x,84.179 km,06/2018,"€ 40.920,-",Gris
Model 3,1.000 km,09/2024,"€ 45.000,-",Plateado
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model y,28.400 km,01/2022,"€ 31.990,-",Otros
Model s,49.000 km,05/2019,"€ 45.900,-",Negro
Model 3,72.000 km,06/2021,"€ 27.475,-",Negro
Model y,12.146 km,02/2024,"€ 40.500,-",Plateado
Model 3,39.413 km,02/2019,"€ 28.990,-",Azul
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model s,210.000 km,08/2013,"€ 23.000,-",Blanco
Model 3,29.019 km,08/2021,"€ 34.000,-",Gris
Model x,1 km,10/2024,"€ 259.900,-",Gris
Model 3,68.000 km,01/2022,"€ 26.490,-",Gris
Model s,107.000 km,12/2018,"€ 43.900,-",Plateado
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model 3,69.855 km,02/2019,"€ 30.999,-",Burdeos
Model 3,35 km,01/2024,"€ 46.900,-",Rojo
Model 3,26.000 km,09/2020,"€ 29.850,-",Blanco
Model 3,12 km,01/2023,"€ 34.990,-",Plateado
Model y,28.400 km,01/2022,"€ 31.990,-",Otros
Model s,128.000 km,03/2017,"€ 32.500,-",Azul
Model 3,16.500 km,01/2024,"€ 43.900,-",Rojo
Model x,88.024 km,08/2016,"€ 43.990,-",Blanco
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,58.000 km,01/2022,"€ 32.900,-",Blanco
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model s,171.000 km,10/2017,"€ 35.000,-",Gris
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model x,58.000 km,09/2020,"€ 54.900,-",Azul
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model 3,98.226 km,05/2021,"€ 28.991,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model x,74.000 km,06/2017,"€ 37.900,-",Azul
Model s,118.900 km,11/2017,"€ 33.800,-",No especificado
Model y,5.000 km,01/2024,"€ 50.900,-",Gris
Model 3,2.490 km,03/2024,"€ 37.728,-",Azul
Model s,114.114 km,03/2019,"€ 39.890,-",Gris
Model x,91.600 km,03/2018,"€ 35.900,-",Azul
Model s,52.000 km,12/2020,"€ 60.900,-",Blanco
Model 3,40.000 km,05/2021,"€ 33.990,-",Negro
Model 3,70.000 km,06/2019,"€ 25.999,-",Blanco
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model y,88.000 km,03/2023,"€ 38.900,-",Blanco
Model 3,37.900 km,06/2021,"€ 38.900,-",Plateado
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,48.000 km,04/2022,"€ 33.850,-",Negro
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model 3,53.000 km,09/2019,"€ 27.990,-",Blanco
Model y,51.900 km,09/2022,"€ 39.900,-",Blanco
Model s,94.000 km,09/2020,"€ 51.990,-",Negro
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,127.000 km,09/2020,"€ 24.990,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,23.000 km,07/2023,"€ 32.000,-",Negro
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,119.012 km,12/2019,"€ 25.990,-",Gris
Model x,14.000 km,10/2020,"€ 65.900,-",Negro
Model s,121.900 km,12/2013,"€ 24.900,-",No especificado
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model x,28.000 km,10/2018,"€ 45.000,-",Gris
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,44.983 km,03/2021,"€ 28.990,-",Granate
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,113.000 km,07/2020,"€ 25.450,-",Blanco
Model 3,39.398 km,02/2022,"€ 29.490,-",Rojo
Model 3,166.000 km,02/2020,"€ 26.990,-",Otros
Model 3,35 km,07/2024,"€ 48.900,-",Rojo
Model x,58.500 km,06/2019,"€ 49.900,-",Azul
Model 3,128.000 km,09/2020,"€ 24.850,-",Gris
Model 3,44.983 km,03/2021,"€ 28.990,-",Granate
Model s,15.000 km,12/2022,"€ 79.900,-",Gris
Model x,125.000 km,06/2017,"€ 38.900,-",Burdeos
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model 3,127.000 km,09/2020,"€ 23.990,-",Blanco
Model s,68.295 km,12/2018,"€ 35.500,-",Negro
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,33.340 km,06/2021,"€ 30.864,-",Negro
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model 3,56.064 km,03/2022,"€ 27.495,-",Azul
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,128.000 km,09/2020,"€ 24.850,-",Gris
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,48.000 km,04/2022,"€ 33.850,-",Negro
Model x,83.901 km,06/2019,"€ 51.000,-",Gris
Model 3,95.000 km,04/2019,"€ 23.900,-",Blanco
Model y,96.000 km,09/2021,"€ 29.950,-",Rojo
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model s,76.800 km,09/2020,"€ 55.900,-",Rojo
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,124.645 km,03/2020,"€ 28.909,-",Negro
Model 3,- km,- (Año),"€ 44.990,-",No especificado
Model 3,88.000 km,04/2019,"€ 24.900,-",Gris
Model 3,68.000 km,01/2021,"€ 29.890,-",Negro
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,128.000 km,09/2020,"€ 24.850,-",Gris
Model s,125.000 km,08/2017,"€ 42.500,-",Gris
Model 3,44.983 km,03/2021,"€ 28.990,-",Granate
Model s,49.000 km,05/2019,"€ 45.900,-",Negro
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model y,36.413 km,11/2022,"€ 32.045,-",Negro
Model s,94.000 km,12/2018,"€ 39.900,-",Gris
Model y,14.000 km,01/2024,"€ 48.900,-",Negro
Model 3,36.000 km,01/2021,"€ 29.490,-",Blanco
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,135.000 km,07/2019,"€ 27.000,-",Negro
Model 3,74.910 km,02/2021,"€ 33.490,-",Rojo
Model x,52.000 km,09/2017,"€ 47.900,-",Blanco
Model s,39.980 km,01/2023,"€ 78.990,-",Gris
Model 3,- km,- (Año),"€ 39.990,-",No especificado
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model s,68.867 km,03/2016,"€ 32.490,-",Negro
Model 3,100.000 km,03/2019,"€ 28.000,-",Blanco
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model y,48.000 km,12/2021,"€ 36.850,-",Blanco
Model 3,68.000 km,01/2022,"€ 26.490,-",Gris
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model x,10.000 km,10/2023,"€ 81.900,-",Negro
Model 3,55.000 km,12/2021,"€ 36.900,-",Negro
Model 3,49.900 km,01/2022,"€ 34.500,-",Blanco
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,51.600 km,01/2021,"€ 30.950,-",Gris
Model 3,- km,- (Año),"€ 57.490,-",No especificado
Model 3,1 km,01/2024,"€ 46.900,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,53.000 km,03/2022,"€ 27.950,-",Gris
Model 3,70.000 km,12/2020,"€ 32.000,-",Gris
Model s,97.000 km,07/2017,"€ 36.490,-",Gris
Model x,119.990 km,03/2017,"€ 59.999,-",Rojo
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model s,68.867 km,03/2016,"€ 32.490,-",Negro
Model 3,57.525 km,09/2022,"€ 33.998,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model s,8.276 km,05/2023,"€ 79.900,-",Negro
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,124.645 km,03/2020,"€ 28.909,-",Negro
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model y,39.847 km,04/2022,"€ 44.960,-",Negro
Model s,- km,- (Año),"€ 107.990,-",No especificado
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,39.398 km,02/2022,"€ 29.490,-",Rojo
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,36.000 km,01/2021,"€ 28.990,-",Blanco
Model 3,59.000 km,01/2021,"€ 36.999,-",Gris
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,123.603 km,01/2021,"€ 26.990,-",Otros
Model x,51.426 km,06/2019,"€ 50.818,-",Gris
Model y,7.000 km,01/2024,"€ 42.490,-",Negro
Model s,70.604 km,12/2018,"€ 34.500,-",Negro
Model x,43.815 km,06/2018,"€ 53.890,-",Negro
Model y,30.000 km,01/2022,"€ 44.999,-",Negro
Model 3,47.479 km,06/2020,"€ 28.490,-",Azul
Model 3,169.800 km,01/2019,"€ 28.990,-",Blanco
Model s,68.867 km,03/2016,"€ 32.490,-",Negro
Model 3,62.000 km,03/2020,"€ 28.450,-",No especificado
Model 3,49.600 km,01/2022,"€ 36.000,-",Blanco
Model 3,145.000 km,06/2019,"€ 32.800,-",Azul
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model 3,138.000 km,06/2020,"€ 26.990,-",Gris
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model s,56.000 km,08/2017,"€ 59.800,-",Blanco
Model 3,46.500 km,08/2021,"€ 35.500,-",Gris
Model y,36.413 km,11/2022,"€ 32.045,-",Negro
Model y,28.400 km,01/2022,"€ 31.990,-",Otros
Model 3,124.645 km,03/2020,"€ 28.909,-",Negro
Model 3,127.000 km,09/2020,"€ 23.990,-",Blanco
Model 3,88.000 km,04/2019,"€ 24.900,-",Negro
Model 3,33.340 km,06/2021,"€ 30.864,-",Negro
Model y,28.400 km,01/2022,"€ 31.990,-",Otros
Model 3,59.990 km,09/2021,"€ 36.300,-",Gris
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,113.000 km,07/2020,"€ 25.450,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,38.000 km,09/2020,"€ 26.890,-",Gris
Model 3,110.000 km,11/2021,"€ 30.450,-",Blanco
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,127.000 km,09/2020,"€ 23.990,-",Blanco
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,31.000 km,06/2022,"€ 33.500,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model x,18.000 km,02/2021,"€ 77.990,-",Blanco
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model 3,60.000 km,06/2021,"€ 32.490,-",Azul
Model 3,55.852 km,06/2023,"€ 34.445,-",Gris
Model 3,88.000 km,09/2019,"€ 29.900,-",Blanco
Model 3,33.340 km,06/2021,"€ 30.864,-",Negro
Model 3,47.479 km,06/2020,"€ 25.640,-",Azul
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,58.431 km,01/2021,"€ 37.490,-",Gris
Model 3,130.000 km,10/2019,"€ 23.900,-",Blanco
Model s,297.000 km,08/2013,"€ 34.000,-",Negro
Model 3,180.000 km,12/2019,"€ 24.990,-",Blanco
Model s,89.831 km,01/2019,"€ 38.890,-",Azul
Model 3,60.000 km,01/2022,"€ 27.490,-",Blanco
Model 3,127.000 km,09/2020,"€ 23.990,-",Blanco
Model 3,127.000 km,09/2020,"€ 23.990,-",Blanco
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,77.000 km,01/2020,"€ 33.900,-",Blanco
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,36.000 km,01/2021,"€ 29.490,-",Blanco
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model x,9.094 km,07/2023,"€ 83.000,-",Blanco
Model 3,60.000 km,01/2022,"€ 26.990,-",Blanco
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,42.901 km,01/2021,"€ 30.490,-",Blanco
Model 3,81.000 km,12/2019,"€ 39.600,-",Negro
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model 3,120.000 km,01/2020,"€ 24.900,-",Blanco
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model 3,57.671 km,03/2022,"€ 26.790,-",Azul
Model 3,63.776 km,11/2021,"€ 29.490,-",Blanco
Model 3,48.000 km,04/2022,"€ 33.850,-",Negro
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model 3,20.000 km,05/2022,"€ 49.900,-",Negro
Model 3,123.000 km,09/2019,"€ 29.990,-",Rojo
Model y,7.000 km,01/2024,"€ 42.490,-",Negro
Model 3,14.000 km,03/2020,"€ 31.500,-",Blanco
Model s,89.500 km,12/2019,"€ 42.890,-",Negro
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model y,46.686 km,06/2023,"€ 36.273,-",Blanco
Model 3,68.000 km,01/2022,"€ 26.490,-",Gris
Model 3,63.776 km,11/2021,"€ 29.490,-",Blanco
Model 3,125.000 km,06/2019,"€ 27.900,-",Rojo
Model y,- km,- (Año),"€ 46.990,-",No especificado
Model 3,56.064 km,03/2022,"€ 27.495,-",Azul
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model x,- km,- (Año),"€ 114.990,-",No especificado
Model s,66.066 km,03/2020,"€ 55.990,-",Negro
Model 3,27.277 km,01/2020,"€ 26.090,-",Blanco
Model 3,44.998 km,05/2023,"€ 27.990,-",Blanco
Model 3,93.000 km,01/2021,"€ 25.850,-",Azul
Model 3,98.226 km,05/2021,"€ 28.991,-",Blanco
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,69.000 km,09/2021,"€ 31.975,-",Blanco
Model 3,53.000 km,03/2022,"€ 27.950,-",Gris
Model y,28.400 km,01/2022,"€ 31.990,-",Otros
Model 3,60.000 km,01/2022,"€ 27.490,-",Blanco
Model 3,47.479 km,06/2020,"€ 25.640,-",Azul
Model 3,93.000 km,01/2021,"€ 25.850,-",Azul
Model 3,44.974 km,09/2021,"€ 31.364,-",Negro
Model 3,124.645 km,03/2020,"€ 28.909,-",Negro
Model 3,1 km,07/2024,"€ 46.900,-",Blanco
Model 3,65.000 km,03/2022,"€ 27.850,-",Azul
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,84.188 km,12/2020,"€ 25.490,-",Blanco
Model 3,62.000 km,01/2022,"€ 28.490,-",Azul
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model 3,36.000 km,01/2021,"€ 28.990,-",Blanco
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
